'chu'dian'zi	出点子	02.218069.58	52252.212514444.521
'chu'shi'biao	出师表	02.23125.713534	52252.231252.11213534
'chu'pu	出圃	02.251251	52252.2512511241
'chu'quan	出圈	02.254351	52252.25431134551
'chu'fan'lv	出饭率	02.303354.415642	52252.3553354.41554413412
'chu'cheng	出乘	02.312214	52252.3122113534
'chu'shen'me	出什么	02.3212.354	52252.3212.354
'chu'shen'me'shi'le	出什么事了	02.3212.354.180012.52	52252.3212.354.12515112.52
'chu'shen'me'pai	出什么牌	02.3212.354.321532	52252.3212.354.321532511312
'chu'pai	出牌	02.321532	52252.321532511312
'chu'fen'zi	出份子	02.323453.58	52252.323453.521
'chu'shou'zhe	出售者	02.324170.19381	52252.32411121251.12132511
'chu'jie	出街	02.331912	52252.332121121112
'chu'tu	出徒	02.3376	52252.3321212134
'chu'ren	出人	02.34	52252.34
'chu'ren'ming	出人命	02.34.341802	52252.34.34125152
'chu'ge	出个	02.342	52252.342
'chu'cang	出仓	02.3455	52252.3455
'chu'jiu	出九	02.35	52252.35
'chu'feng	出风	02.3534	52252.3534
'chu'feng'kou	出风口	02.3534.80	52252.3534.251
'chu'yue	出月	02.36	52252.3511
'chu'yue'zi	出月子	02.36.58	52252.3511.521
'chu'lie	出猎	02.381881	52252.35312212511
'chu'xue	出血	02.384	52252.325221
'chu'xue're	出血热	02.384.103549	52252.325221.1213544444
'chu'xue'bing	出血病	02.384.481254	52252.325221.4134112534
'chu'yan	出言	02.40	52252.4111251
'chu'ye'han	出夜汗	02.413234.44112	52252.41323544.441112
'chu'leng'men	出冷门	02.413444.42	52252.4134454.425
'chu'zi'ren	出资人	02.413538.34	52252.4135342534.34
'chu'ge	出阁	02.429080	52252.425354251
'chu'shou	出首	02.431382	52252.431325111
'chu'man'qin	出满勤	02.441714.1853	52252.4411221253434.1221251112153
'chu'yang'xiang	出洋相	02.444312.1282	52252.441431112.123425111
'chu'huo	出活	02.4496	52252.441312251
'chu'wan	出完	02.461135	52252.4451135
'chu'ding	出定	02.461214	52252.44512134
'chu'sai	出赛	02.467638	52252.44511221342534
'chu'gong	出宫	02.468080	52252.445251251
'chu'du	出度	02.471854	52252.413122154
'chu'dian	出店	02.472180	52252.41321251
'chu'ku	出库	02.4777	52252.4131512
'chu'le'da'shi	出了大事	02.52.134.180012	52252.52.134.12515112
'chu'le'shi	出了事	02.52.180012	52252.52.12515112
'chu'fa'di	出发地	02.53544.19525	52252.53544.121525
'chu'fa'qu	出发去	02.53544.1954	52252.53544.12154
'chu'nan'ti	出难题	02.543241.811218	52252.5432411121.251112134132534
'chu'xian'le	出线	02.551154	52252.55111534
'chu'na'yuan	出纳员	02.552534.8028	52252.5512534.2512534
'chu'xin'kuan	出新款	02.611232.191124	52252.4143112343312.121112343534
'chu'xin'ban	出新版	02.611232.321534	52252.4143112343312.32153354
'chu'shou'xiang'jiu	出手相救	02.67.1282.124130	52252.3112.123425111.12413443134
'chu'qi'tong	出气筒	02.67.372510	52252.3115.314314251251
'chu'mao'bing	出毛病	02.67.481254	52252.3115.4134112534
'chu'liang	出粮	02.68403	52252.4312344511534
'chu'mei	出煤	02.691812	52252.4334122111234
'chu'pin	出聘	02.728315	52252.1221112512115
'chu'piao	出票	02.741124	52252.12522111234
'chu'chao	出超	02.765380	52252.121213453251
'chu'che'fei	出车费	02.77.573228	52252.1512.515322534
'chu'kou'tui'shui	出口退税	02.80.03454.924385	52252.251.511534454.312344325135
'chu'hao'ji	出号机	02.8015.1235	52252.25115.123435
'chu'cuo'wu	出错误	02.911881.408014	52252.3111512212511.452511134
'chu'cuo'lv	出错率	02.911881.415642	52252.3111512212511.41554413412
'chu'cuo'le	出错了	02.911881.52	52252.3111512212511.52
'chu'guo	出锅	02.918024	52252.311152512534
'chu'zu'wu	出租屋	02.9227.071549	52252.3123425111.513154121
'chu'zu'ren	出租人	02.9227.34	52252.3123425111.34
'chu'zu'fang	出租房	02.9227.40760	52252.3123425111.45134153
'chu'ke	出科	02.924412	52252.312344412
'chu'hang	出航	02.934135	52252.3354144135
'chu'pan	出盘	02.9384	52252.33541425221
'ji'jin	暨今	031531.3445	51154153525111.3445
'ji'bu'gan	既不敢	031535.1324.57290	511541535.1324.51221113134
'ji'sheng'yu	既生瑜	031535.371.113412	511541535.31121.1121341251122
'ji'sheng'yu'he'sheng'liang	既生瑜何生亮	031535.371.113412.321802.371.414535	511541535.31121.1121341251122.3212512.31121.412514535
'ji'wang	既望	031535.415361	511541535.41535111121
'ji'wei	既为	031535.4354	511541535.4354
'ji'shi'xian'xiang	既视现象	031535.622535.112535.358034	511541535.45242535.11212535.35251353334
'ji'shi'gan	既视感	031535.622535.131805	511541535.45242535.1312515344544
'ji'yu	既遇	031535.812524	511541535.251125214454
'ken'fu	垦覆	0319.743330	511534121.125221332312511354
'tui'chu'le	退出了	03454.02.52	511534454.52252.52
'tui'huan'huo	退换货	03454.103524.323528	511534454.1213525134.32352534
'tui're	退热	03454.103549	511534454.1213544444
'tui're'shuan	退热栓	03454.103549.123411	511534454.1213544444.1234341121
'tui're'tie	退热贴	03454.103549.282180	511534454.1213544444.253421251
'tui'kai	退开	03454.1132	511534454.1132
'tui'zhan	退栈	03454.121154	511534454.123411534
'tui'ji'hua	退极化	03454.12354.3235	511534454.1234354.3235
'tui'ge'fu	退格符	03454.129080.373214	511534454.1234354251.31431432124
'tui'po	退坡	03454.195324	511534454.12153254
'tui'gang	退岗	03454.202534	511534454.2522534
'tui'tang	退堂	03454.248019	511534454.24345251121
'tui'hui'dao	退回到	03454.25801.154192	511534454.252511.15412122
'tui'hui'lai	退回来	03454.25801.168	511534454.252511.1431234
'tui'hui'qu	退回去	03454.25801.1954	511534454.252511.12154
'tui'xiu'gong'zi	退休工资	03454.3212.121.413538	511534454.321234.121.4135342534
'tui'xing	退行	03454.33112	511534454.332112
'tui'xing'xing	退行性	03454.33112.49371	511534454.332112.44231121
'tui'yang	退养	03454.4332	511534454.431113432
'tui'ding	退定	03454.461214	511534454.44512134
'tui'sai	退赛	03454.467638	511534454.44511221342534
'tui'le	退了	03454.52	511534454.52
'tui'le'yi'bu	退了一步	03454.52.1.21233	511534454.52.1.2121233
'tui'fei	退费	03454.573228	511534454.515322534
'ji'kai'ji'shi	即开即食	0352.1132.0352.30	5115452.1132.5115452.344511534
'ji'bu	即不	0352.1324	5115452.1324
'ji'you	即有	0352.132511	5115452.132511
'ji'dao	即到	0352.154192	5115452.15412122
'ji'shi	即事	0352.180012	5115452.12515112
'ji'ke'de	即可得	0352.1802.338114	5115452.12512.33225111124
'ji'shi	即食	0352.30	5115452.344511534
'ji'shi'bu	即使不	0352.321804.1324	5115452.32125134.1324
'ji'shi'bu'shi	即使不是	0352.321804.1324.811214	5115452.32125134.1324.251112134
'ji'shi'you	即使有	0352.321804.132511	5115452.32125134.132511
'ji'shi'neng	即使能	0352.321804.542515	5115452.32125134.5425113535
'ji'cong	即从	0352.3434	5115452.3434
'ji'yi	即已	0352.515	5115452.515
'ji'dui	即对	0352.54124	5115452.54124
'ji'ru	即如	0352.5980	5115452.531251
'ji'bei	即被	0352.635324	5115452.4523453254
'ji'shi'tong'xun	即时通讯	0352.81124.542514.40512	5115452.2511124.5425112454.45512
'ji'shi'liao'tian	即时聊天	0352.81124.723532.1134	5115452.2511124.12211135352.1134
'ji'you	即由	0352.83	5115452.25121
'ken'ken	恳恳	0365.0365	5115344544.5115344544
'xi'xi	习习	04.04	541.541
'xi'shang	习尚	04.242580	541.24325251
'xi'jian	习见	04.2535	541.2535
'xi'jin'ping	习近平	04.331244.14312	541.3312454.14312
'xi'yong'yu	习用语	04.35112.401250	541.35112.451251251
'xi'yu	习语	04.401250	541.451251251
'xi'zi'tie	习字帖	04.4658.252180	541.445521.25221251
'xi'guan'ba	习惯把	04.490628.105215	541.44255212534.1215215
'xi'guan'lai	习惯来	04.490628.168	541.44255212534.1431234
'xi'guan'de	习惯地	04.490628.19525	541.44255212534.121525
'xi'guan'qu	习惯去	04.490628.1954	541.44255212534.12154
'xi'guan'zuo	习惯做	04.490628.321280	541.44255212534.32122513134
'xi'guan'yong	习惯用	04.490628.35112	541.44255212534.35112
'xi'guan'yong'yu	习惯用语	04.490628.35112.401250	541.44255212534.35112.451251251
'xi'guan'de	习惯的	04.490628.381354	541.44255212534.32511354
'xi'guan'fa	习惯法	04.490628.441954	541.44255212534.44112154
'xi'guan'le	习惯了	04.490628.52	541.44255212534.52
'xi'guan'bei	习惯被	04.490628.635324	541.44255212534.4523453254
'xi'hao	习好	04.5958	541.531521
'yu'jia	羽嘉	0404.195380	541541.12125143153251
'yu'jian	羽箭	0404.374312	541541.314314431251122
'yu'shan	羽扇	0404.407044	541541.4513541541
'yu'rong'yi	羽绒衣	0404.551134.413534	541541.551113534.413534
'yu'zu	羽族	0404.603194	541541.41533131134
'yu'lin	羽鳞	0404.986892	541541.35251211431234354152
'cui'ping	翠屏	040442.074332	54154141343412.513431132
'cui'lan	翠蓝	040442.172234	54154141343412.1222231425221
'cui'ju	翠菊	040442.173568	54154141343412.12235431234
'cui'sheng'sheng	翠生生	040442.371.371	54154141343412.31121.31121
'cui'lv'se	翠绿色	040442.550124.355215	54154141343412.55151124134.355215
'cui'ye	翠叶	040442.8012	54154141343412.25112
'yi'long	翼龙	040484.13534	54154125121122134.13534
'yi'ren	翼人	040484.34	54154125121122134.34
'yi'zhuang	翼装	040484.412194	54154125121122134.412121413534
'yi'zhuang'fei'xing	翼装飞行	040484.412194.534.33112	54154125121122134.412121413534.534.332112
'yi'shou'long	翼手龙	040484.67.13534	54154125121122134.3112.13534
'xun'bu'fang	巡捕房	05454.101254.40760	555454.1211251124.45134153
'xun'biao	巡标	05454.121124	555454.123411234
'xun'zha	巡查	05454.12811	555454.123425111
'xun'shan	巡山	05454.20	555454.252
'xun'hui'jian'ce'yi	巡回检测仪	05454.25801.123411.442822.32434	555454.252511.12343414431.441253422.32434
'xun'hui'fang'wen	巡回访问	05454.25801.4060.4280	555454.252511.454153.425251
'xun'hui'yan'chu	巡回演出	05454.25801.444614.02	555454.252511.44144512512134.52252
'xun'hui'sai	巡回赛	05454.25801.467638	555454.252511.44511221342534
'xun'dao	巡道	05454.431384	555454.431325111454
'xun'hai	巡海	05454.443106	555454.4413155414
'xun'shou	巡守	05454.46124	555454.445124
'chao'xi	剿袭	058112.135344	5552511123422.13534413534
'chao'ku	巢窟	058112.463402	55525111234.4453451352252
'mu'zhu	母株	06.123112	55414.1234311234
'mu'ban	母板	06.123354	55414.12343354
'mu'ji	母机	06.1235	55414.123435
'mu'quan'zhi	母权制	06.1254.311252	55414.123454.31125222
'mu'guo	母国	06.251141	55414.25112141
'mu'pian	母片	06.3215	55414.3215
'mu'ban	母版	06.321534	55414.32153354
'mu'zhi	母质	06.331228	55414.33122534
'mu'de	母的	06.381354	55414.32511354
'mu'mao	母猫	06.381783	55414.35312225121
'wu'ning'si	毋宁死	06.4612.1335	5531.44512.135435
'mu'lu	母鹿	06.47	55414.41352211535
'mu'zuo	母座	06.473439	55414.4133434121
'mu'ji'xia'dan	母鸡下蛋	06.5499.124.0826	55414.5435451.124.52134251214
'mu'jie'gou	母结构	06.551980.123554	55414.551121251.12343554
