'jian'she'bu	建设部	011124.403554.618052	51111254.453554.4143125152
'guo'jia'yao'pin'jian'du'guan'li'ju	国家药品监督管理局	251141.4613.175534.808080.223144.875482.374621.118121.07580	25112141.4451353334.122551354.251251251.2231425221.2112345425111.31431444525151.11212511211.5135251
'guo'nei'mao'yi'ju	国家国内贸易局	251141.4613.251141.2534.354538.813533.07580	25112141.4451353334.25112141.2534.354532534.25113533.5135251
'guo'jia'ti'yu'zong'ju	国家体育总局	251141.4613.32121.415421.438065.07580	25112141.4451353334.3212341.41542511.432514544.5135251
'guo'jia'ban'quan'ju	国家版权局	251141.4613.321534.1254.07580	25112141.4451353334.32153354.123454.5135251
'guo'jia'xing'zheng'xue'yuan	国家行政学院	251141.4613.33112.12190.6458.524615	25112141.4451353334.332112.121213134.44345521.524451135
'guo'jia'zhi'liang'ji'shu'jian'du'ju	国家质量技术监督局	251141.4613.331228.811811.101254.124.223144.875482.07580	25112141.4451353334.33122534.251112511211.1211254.12344.2231425221.2112345425111.5135251
'guo'jia'ren'kou'he'ji'hua'sheng'yu'wei'yuan'hui	国家人口和计划生育委员会	251141.4613.34.80.9280.4012.153422.371.415421.9259.8028.341154	25112141.4451353334.34.251.31234251.4512.153422.31121.41542511.31234531.2512534.341154
'guo'jia'ji'hua'sheng'yu'wei'yuan'hui	国家计划生育委员会	251141.4613.4012.153422.371.415421.9259.8028.341154	25112141.4451353334.4512.153422.31121.41542511.31234531.2512534.341154
'guo'jia'ye'jin'gong'ye'ju	国家冶金工业局	251141.4613.415480.91.121.22.07580	25112141.4451353334.4154251.34112431.121.22431.5135251
'guo'jia'ce'hui'ju	国家测绘局	251141.4613.442822.553414.07580	25112141.4451353334.441253422.551341154.5135251
'guo'jia'hai'yang'ju	国家海洋局	251141.4613.443106.444312.07580	25112141.4451353334.4413155414.441431112.5135251
'guo'jia'zong'jiao'shi'wu'ju	国家宗教事务局	251141.4613.461124.193580.180012.9053.07580	25112141.4451353334.44511234.12135213134.12515112.35453.5135251
'guo'jia'an'quan'bu	国家安全部	251141.4613.4659.3411.618052	25112141.4451353334.445531.341121.4143125152
'guo'jia'shen'ji'shu	国家审计署	251141.4613.4683.4012.841931	25112141.4451353334.44525112.4512.2522112132511
