'jian'she'bu	建设部	011124.403554.618052	51111254.453554.4143125152
'zhong'guo'min'zhu'tong'meng	中国民主同盟	802.251141.51515.411.25180.813684	2512.25112141.51515.41121.251251.2511351125221
'zhong'guo'min'zhu'cu'jin'hui	中国民主促进会	802.251141.51515.411.3229.76454.341154	2512.25112141.51515.41121.322512134.1132454.341154
'zhong'guo'min'jian'wen'yi'jia'xie'hui	中国民间文艺家协会	802.251141.51515.4281.66.175.4613.125344.341154	2512.25112141.51515.4252511.4134.1225.4451353334.125344.341154
'zhong'guo'dui'wai'mao'yi'yun'shu'gong'si	中国对外贸易运输公司	802.251141.54124.9024.354538.813533.115444.773412.3454.5180	2512.25112141.54124.35424.354532534.25113533.1154454.1521341251122.3454.51251
'zhong'guo'dui'wai'fan'yi'chu'ban'gong'si	中国对外翻译出版公司	802.251141.54124.9024.368834.405412.02.321534.3454.5180	2512.25112141.54124.35424.343123425121541541.4554112.52252.32153354.3454.51251
'zhong'guo'xi'ju'jia'xie'hui	中国戏剧家协会	802.251141.541534.071282.4613.125344.341154	2512.25112141.541534.5131225122.4451353334.125344.341154
'zhong'guo'hong'shi'zi'hui'zong'hui	中国红十字会总会	802.251141.55121.12.4658.341154.438065.341154	2512.25112141.551121.12.445521.341154.432514544.341154
'zhong'guo'shu'fa'jia'xie'hui	中国书法家协会	802.251141.5524.441954.4613.125344.341154	2512.25112141.5524.44112154.4451353334.125344.341154
'zhong'guo'suo'wei'chu'ban'wu'jin'chu'kou'gong'si	中国缩微出版物进出口公司	802.251141.554631.332010.02.321534.313533.76454.02.80.3454.5180	2512.25112141.55144532132511.3322521353134.52252.32153354.31213533.1132454.52252.251.3454.51251
'zhong'guo'jing'ji'mao'yi'zi'xun'gong'si	中国经济贸易咨询公司	802.251141.555411.446632.354538.813533.413530.403581.3454.5180	2512.25112141.55154121.441413432.354532534.25113533.413534251.45352511.3454.51251
'zhong'guo'fang'zhi'pin'jin'chu'kou'gong'si	中国纺织品进出口公司	802.251141.5560.558034.808080.76454.02.80.3454.5180	2512.25112141.5514153.55125134.251251251.1132454.52252.251.3454.51251
'zhong'guo'yin'yue'jia'xie'hui	中国音乐家协会	802.251141.6181.35234.4613.125344.341154	2512.25112141.414312511.35234.4451353334.125344.341154
'zhong'guo'fu'li'hui	中国福利会	802.251141.621803.9222.341154	2512.25112141.4524125125121.3123422.341154
'zhong'guo'she'hui'ke'xue'yuan	中国社会科学院	802.251141.6219.341154.924412.6458.524615	2512.25112141.4524121.341154.312344412.44345521.524451135
'zhong'guo'wen'xue'yi'shu'jie'lian'he'hui	中国文学艺术界联合会	802.251141.66.6458.175.124.833432.724334.92.341154	2512.25112141.4134.44345521.1225.12344.251213432.122111431134.341251.341154
'zhong'guo'qi'xiang'ju	中国气象局	802.251141.67.358034.07580	2512.25112141.3115.35251353334.5135251
'zhong'guo'liang'you'shi'pin'jin'chu'kou'gong'si	中国粮油食品进出口公司	802.251141.68403.4483.30.808080.76454.02.80.3454.5180	2512.25112141.4312344511534.44125121.344511534.251251251.1132454.52252.251.3454.51251
'zhong'guo'jing'mi'ji'xie'gong'si	中国精密机械公司	802.251141.687121.466520.1235.121134.3454.5180	2512.25112141.43123411212511.44545434252.123435.12341132534.3454.51251
'zhong'guo'ji'du'jiao'san'zi'ai'guo'yun'dong'wei'yuan'hui	中国基督教三自爱国运动委员会	802.251141.7019.875482.193580.111.382.394514.251141.115444.115453.9259.8028.341154	2512.25112141.12211134121.2112345425111.12135213134.111.325111.3443451354.25112141.1154454.115453.31234531.2512534.341154
'zhong'guo'ji'du'jiao'xie'hui	中国基督教协会	802.251141.7019.875482.193580.125344.341154	2512.25112141.12211134121.2112345425111.12135213134.125344.341154
'zhong'guo'lian'he'guo'xie'hui	中国联合国协会	802.251141.724334.92.251141.125344.341154	2512.25112141.122111431134.341251.25112141.125344.341154
'zhong'guo'lian'he'guo'jiao'ke'wen'zu'zhi'quan'guo'wei'yuan'hui	中国联合国教科文组织全国委员会	802.251141.724334.92.251141.193580.924412.66.5527.558034.3411.251141.9259.8028.341154	2512.25112141.122111431134.341251.25112141.12135213134.312344412.4134.55125111.55125134.341121.25112141.31234531.2512534.341154
'zhong'guo'qing'gong'ye'pin'jin'chu'kou'gong'si	中国轻工业品进出口公司	802.251141.775411.121.22.808080.76454.02.80.3454.5180	2512.25112141.152154121.121.22431.251251251.1132454.52252.251.3454.51251
'zhong'guo'dian'zi'ji'shu'jin'chu'kou'gong'si	中国电子技术进出口公司	802.251141.815.58.101254.124.76454.02.80.3454.5180	2512.25112141.25115.521.1211254.12344.1132454.52252.251.3454.51251
'zhong'guo'dian'shi'yi'shu'jia'xie'hui	中国电视艺术家协会	802.251141.815.622535.175.124.4613.125344.341154	2512.25112141.25115.45242535.1225.12344.4451353334.125344.341154
'zhong'guo'dian'ying'ping'lun'xue'hui	中国电影评论学会	802.251141.815.814123.401432.403435.6458.341154	2512.25112141.25115.251141251234333.4514312.453435.44345521.341154
'zhong'guo'dian'ying'jia'xie'hui	中国电影家协会	802.251141.815.814123.4613.125344.341154	2512.25112141.25115.251141251234333.4451353334.125344.341154
'zhong'guo'dian'ying'fa'xing'fang'ying'gong'si	中国电影发行放映公司	802.251141.815.814123.53544.33112.6090.812514.3454.5180	2512.25112141.25115.251141251234333.53544.332112.41533134.251125134.3454.51251
'zhong'guo'you'piao'zong'gong'si	中国邮票总公司	802.251141.8352.741124.438065.3454.5180	2512.25112141.2512152.12522111234.432514544.3454.51251
'zhong'guo'wai'lun'dai'li'gong'si	中国外轮代理公司	802.251141.9024.773435.32154.118121.3454.5180	2512.25112141.35424.15213435.32154.11212511211.3454.51251
'zhong'guo'jin'rong'xue'hui	中国金融学会	802.251141.91.180256.6458.341154	2512.25112141.34112431.1251254312251214.44345521.341154
'zhong'guo'zu'chuan'gong'si	中国租船公司	802.251141.9227.933580.3454.5180	2512.25112141.3123425111.33541435251.3454.51251
'zhong'guo'ke'xue'ji'shu'xie'hui	中国科学技术协会	802.251141.924412.6458.101254.124.125344.341154	2512.25112141.312344412.44345521.1211254.12344.125344.341154
'zhong'guo'ke'xue'ji'shu'zi'xun'fu'wu'zhong'xin	中国科学技术咨询服务中心	802.251141.924412.6458.101254.124.413530.403581.365254.9053.802.65	2512.25112141.312344412.44345521.1211254.12344.413534251.45352511.35115254.35453.2512.4544
'zhong'guo'ke'xue'ji'shu'pu'ji'ji'chuang'zuo'xie'hui	中国科学技术普及及创作协会	802.251141.924412.6458.101254.124.431221.354.354.345522.323121.125344.341154	2512.25112141.312344412.44345521.1211254.12344.431224312511.354.354.345522.3231211.125344.341154
'zhong'guo'ke'xue'ji'shu'qing'bao'yan'jiu'suo	中国科学技术情报研究所	802.251141.924412.6458.101254.124.497121.105254.141132.463435.335132	2512.25112141.312344412.44345521.1211254.12344.44211212511.1215254.132511132.4453435.33513312
'zhong'guo'ke'xue'ji'shu'shi'xue'hui	中国科学技术史学会	802.251141.924412.6458.101254.124.8034.6458.341154	2512.25112141.312344412.44345521.1211254.12344.25134.44345521.341154
'zhong'guo'ke'xue'yuan	中国科学院	802.251141.924412.6458.524615	2512.25112141.312344412.44345521.524451135
'zhong'guo'chuan'bo'gong'si	中国船舶公司	802.251141.933580.93381.3454.5180	2512.25112141.33541435251.33541432511.3454.51251
'zhong'guo'hang'kong'ji'shu'jin'chu'kou'gong'si	中国航空技术进出口公司	802.251141.934135.463411.101254.124.76454.02.80.3454.5180	2512.25112141.3354144135.44534121.1211254.12344.1132454.52252.251.3454.51251
'zhong'guo'hang'kong'gong'ye'fu'wu'gong'si	中国航空工业服务公司	802.251141.934135.463411.121.22.365254.9053.3454.5180	2512.25112141.3354144135.44534121.121.22431.35115254.35453.3454.51251
'zhong'yang'zheng'ce'yan'jiu'shi	中央政策研究室	802.25134.12190.371254.141132.463435.461549	2512.25134.121213134.314314125234.132511132.4453435.445154121
'zhong'yang'zheng'fa'wei'yuan'hui	中央政法委员会	802.25134.12190.441954.9259.8028.341154	2512.25134.121213134.44112154.31234531.2512534.341154
'zhong'yang'zheng'zhi'ju	中央政治局	802.25134.12190.445480.07580	2512.25134.121213134.44154251.5135251
'zhong'yang'zheng'zhi'ju'chang'wu'wei'yuan'hui	中央政治局常务委员会	802.25134.12190.445480.07580.248025.9053.9259.8028.341154	2512.25134.121213134.44154251.5135251.24345251252.35453.31234531.2512534.341154
'zhong'yang'dang'an'guan	中央档案馆	802.25134.122401.465912.304621	2512.25134.1234243511.4455311234.35544525151
'zhong'yang'zheng'dang'gong'zuo'zhi'dao'wei'yuan'hui	中央整党工作指导委员会	802.25134.180231.248035.121.323121.103581.515124.9259.8028.341154	2512.25134.1251234313412121.2434525135.121.3231211.121352511.515124.31234531.2512534.341154
'zhong'yang'dang'xiao	中央党校	802.25134.248035.126634	2512.25134.2434525135.1234413434
'zhong'yang'dang'de'jian'she'gong'zuo'ling'dao'xiao'zu	中央党的建设工作领导小组	802.25134.248035.381354.011124.403554.121.323121.344548.515124.234.5527	2512.25134.2434525135.32511354.51111254.453554.121.3231211.34454132534.515124.234.55125111
